Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Year
1,2020-07-24,boxscore,ARI,@,SDP,L,2,7,,0-1,3,1.5,Paddack,Bumgarner,,3:05,N,,1.16,-,,ARI,2020
2,2020-07-25,boxscore,ARI,@,SDP,L,1,5,,0-2,5,2.0,Lamet,Ray,,3:18,N,,1.17,--,,ARI,2020
3,2020-07-26,boxscore,ARI,@,SDP,W,4,3,,1-2,5,1.0,Bradley,Yates,,3:44,D,,1.16,+,,ARI,2020
4,2020-07-27,boxscore,ARI,@,SDP,L,2,6,,1-3,5,2.0,Quantrill,Weaver,,3:03,D,,1.21,-,,ARI,2020
5,2020-07-28,boxscore,ARI,@,TEX,W,4,1,,2-3,4,2.0,Kelly,Gibson,Bradley,3:10,N,,1.06,+,,ARI,2020
6,2020-07-29,boxscore,ARI,@,TEX,L,4,7,,2-4,5,2.5,HernÃ¡ndez,Chafin,Goody,3:27,D,,1.08,-,,ARI,2020
7,2020-07-30,boxscore,ARI,,LAD,L,3,6,,2-5,5,3.0,Stripling,Ray,BÃ¡ez,3:19,N,,1.17,--,,ARI,2020
8,2020-07-31,boxscore,ARI,,LAD,W,5,3,,3-5,5,3.0,RondÃ³n,Treinen,Bradley,3:15,N,,1.11,+,,ARI,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2020
9,2020-08-01,boxscore,ARI,,LAD,L,2,11,,3-6,5,3.0,UrÃ­as,Weaver,,2:49,N,,1.17,-,,ARI,2020
10,2020-08-02,boxscore,ARI,,LAD,L,0,3,,3-7,5,4.0,Kershaw,Kelly,Jansen,2:56,D,,1.09,--,,ARI,2020
11,2020-08-04,boxscore,ARI,,HOU,L,2,8,,3-8,5,5.5,Javier,Bumgarner,,3:09,N,,.94,---,,ARI,2020
12,2020-08-05,boxscore,ARI,,HOU,W,14,7,,4-8,5,4.5,Ray,McCullers,,3:14,N,,.88,+,,ARI,2020
13,2020-08-06,boxscore,ARI,,HOU,W,5,4,,5-8,5,4.5,Guerra,Pressly,,3:15,D,,.93,++,,ARI,2020
14,2020-08-07,boxscore,ARI,@,SDP,L,0,3,,5-9,5,5.5,Davies,Weaver,Yates,2:27,N,,1.11,-,,ARI,2020
15,2020-08-08,boxscore,ARI,@,SDP,W,3,2,,6-9,5,5.5,Kelly,Paddack,Bradley,2:51,N,,1.04,+,,ARI,2020
16,2020-08-09,boxscore,ARI,@,SDP,L,5,9,,6-10,5,5.5,Lamet,Bumgarner,,2:59,D,,1.15,-,,ARI,2020
17,2020-08-10,boxscore,ARI,@,COL,W,12,8,,7-10,4,4.5,Young,Gray,Bradley,3:43,N,,1.03,+,,ARI,2020
18,2020-08-11,boxscore,ARI,@,COL,L,7,8,,7-11,5,5.5,EstÃ©vez,Ginkel,Bard,3:16,N,,1.17,-,,ARI,2020
19,2020-08-12,boxscore,ARI,@,COL,W,13,7,,8-11,4,4.5,Chafin,Kinley,,3:56,D,,1.08,+,,ARI,2020
20,2020-08-14,boxscore,ARI,,SDP,W,5,1,,9-11,4,4.5,Kelly,Lamet,,3:03,N,,1.25,++,,ARI,2020
21,2020-08-15,boxscore,ARI,,SDP,W,7,6,,10-11,4,4.5,Crichton,Johnson,Bradley,3:23,N,,1.32,+++,,ARI,2020
22,2020-08-16,boxscore,ARI,,SDP,W,5,4,,11-11,3,4.5,Clarke,PagÃ¡n,Bradley,3:13,D,,1.42,++++,,ARI,2020
23,2020-08-17,boxscore,ARI,,OAK,W,4,3,,12-11,3,4.5,Crichton,Soria,,3:06,N,,1.26,+++++,,ARI,2020
24,2020-08-18,boxscore,ARI,,OAK,W,10,1,,13-11,3,4.5,Weaver,Montas,,3:04,D,,1.28,++++++,,ARI,2020
25,2020-08-19,boxscore,ARI,@,OAK,L,1,4,,13-12,4,4.5,Luzardo,Kelly,Hendriks,2:57,N,,1.30,-,,ARI,2020
26,2020-08-20,boxscore,ARI,@,OAK,L,1,5,,13-13,4,5.5,Manaea,Young,,2:49,N,,1.29,--,,ARI,2020
27,2020-08-21,boxscore,ARI,@,SFG,L,2,6,,13-14,4,6.5,Webb,Ray,,2:58,N,,1.43,---,,ARI,2020
28,2020-08-22,boxscore,ARI,@,SFG,L,1,5,,13-15,4,7.5,Anderson,Grace,,2:43,N,,1.43,----,,ARI,2020
29,2020-08-23,boxscore,ARI,@,SFG,L,1,6,,13-16,5,8.5,Baragar,Weaver,,2:52,D,,1.41,-----,,ARI,2020
